STD,PLT,SPP,PRD,DBH,THT
1,1,1,3,16,80
1,1,1,2,11,70
1,1,1,2,10,65
1,1,1,3,14,80
1,1,1,3,12,80
1,1,1,2,11,80
1,1,1,3,13,80
1,1,1,3,13,80
1,2,1,2,11,75
1,2,1,3,13,75
1,2,1,2,10,75
1,2,1,3,12,75
1,2,1,3,16,80
1,2,1,3,13,80
1,3,1,3,14,70
1,3,1,1,7,55
1,3,1,2,11,65
1,3,1,3,12,55
1,3,1,1,8,50
1,3,1,3,12,70
1,3,1,3,14,65
1,4,1,3,12,80
1,4,1,3,13,80
1,4,1,2,11,75
1,4,1,1,8,55
1,4,1,3,14,75
1,4,1,2,10,70
1,4,1,3,13,75
1,5,1,3,14,70
1,5,1,2,11,70
1,5,1,2,11,70
1,5,1,2,10,55
1,5,1,3,12,50
1,5,1,2,10,60
1,6,1,3,12,75
1,6,1,3,12,75
1,6,1,2,10,70
1,6,1,3,13,75
1,6,1,2,11,75
1,6,1,3,14,75
1,6,1,3,12,70
1,6,1,3,13,80
